[SENDER] connected to 127.0.0.1:9001
[SENDER] window=90 case=continuous_bad_frames blobs=8 bytes=213
[SENDER] window=91 case=continuous_bad_frames blobs=8 bytes=266
[SENDER] window=92 case=continuous_bad_frames blobs=8 bytes=243
[SENDER] window=93 case=continuous_bad_frames blobs=8 bytes=284
[SENDER] window=94 case=continuous_bad_frames blobs=8 bytes=219
[SENDER] window=95 case=continuous_bad_frames blobs=8 bytes=286
[SENDER] window=96 case=continuous_bad_frames blobs=8 bytes=178
[SENDER] window=97 case=continuous_bad_frames blobs=8 bytes=208
[SENDER] window=98 case=continuous_bad_frames blobs=8 bytes=223
[SENDER] window=99 case=continuous_bad_frames blobs=8 bytes=183
[SENDER] window=100 case=continuous_bad_frames blobs=8 bytes=254
[SENDER] window=101 case=continuous_bad_frames blobs=8 bytes=190
[SENDER] window=102 case=continuous_bad_frames blobs=8 bytes=278
[SENDER] window=103 case=continuous_bad_frames blobs=8 bytes=181
[SENDER] window=104 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=105 case=continuous_bad_frames blobs=8 bytes=238
[SENDER] window=106 case=continuous_bad_frames blobs=8 bytes=242
[SENDER] window=107 case=continuous_bad_frames blobs=8 bytes=160
[SENDER] window=108 case=continuous_bad_frames blobs=8 bytes=260
[SENDER] window=109 case=continuous_bad_frames blobs=8 bytes=189
[SENDER] window=110 case=continuous_bad_frames blobs=8 bytes=256
[SENDER] window=111 case=continuous_bad_frames blobs=8 bytes=216
[SENDER] window=112 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=113 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=114 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=115 case=continuous_bad_frames blobs=8 bytes=324
[SENDER] window=116 case=continuous_bad_frames blobs=8 bytes=199
[SENDER] window=117 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=118 case=continuous_bad_frames blobs=8 bytes=239
[SENDER] window=119 case=continuous_bad_frames blobs=8 bytes=288
[SENDER] window=120 case=continuous_bad_frames blobs=8 bytes=220
[SENDER] window=121 case=continuous_bad_frames blobs=8 bytes=147
[SENDER] window=122 case=continuous_bad_frames blobs=8 bytes=257
[SENDER] window=123 case=continuous_bad_frames blobs=8 bytes=199
[SENDER] window=124 case=continuous_bad_frames blobs=8 bytes=245
[SENDER] window=125 case=continuous_bad_frames blobs=8 bytes=174
[SENDER] window=126 case=continuous_bad_frames blobs=8 bytes=180
[SENDER] window=127 case=continuous_bad_frames blobs=8 bytes=205
[SENDER] window=128 case=continuous_bad_frames blobs=8 bytes=287
[SENDER] window=129 case=continuous_bad_frames blobs=8 bytes=326
[SENDER] window=130 case=continuous_bad_frames blobs=8 bytes=233
[SENDER] window=131 case=continuous_bad_frames blobs=8 bytes=215
[SENDER] window=132 case=continuous_bad_frames blobs=8 bytes=225
[SENDER] window=133 case=continuous_bad_frames blobs=8 bytes=291
[SENDER] window=134 case=continuous_bad_frames blobs=8 bytes=251
[SENDER] window=135 case=continuous_bad_frames blobs=8 bytes=268
[SENDER] window=136 case=continuous_bad_frames blobs=8 bytes=305
[SENDER] window=137 case=continuous_bad_frames blobs=8 bytes=193
[SENDER] window=138 case=continuous_bad_frames blobs=8 bytes=218
[SENDER] window=139 case=continuous_bad_frames blobs=8 bytes=259
[SENDER] window=140 case=continuous_bad_frames blobs=8 bytes=249
[SENDER] window=141 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=142 case=continuous_bad_frames blobs=8 bytes=226
[SENDER] window=143 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=144 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=145 case=continuous_bad_frames blobs=8 bytes=284
[SENDER] window=146 case=continuous_bad_frames blobs=8 bytes=243
[SENDER] window=147 case=continuous_bad_frames blobs=8 bytes=198
[SENDER] window=148 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=149 case=continuous_bad_frames blobs=8 bytes=215
[SENDER] connection error: ConnectionResetError: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[SENDER] connection error: ConnectionRefusedError: [WinError 10061] 由于目标计算机积极拒绝，无法连接。
[SENDER] connection error: ConnectionRefusedError: [WinError 10061] 由于目标计算机积极拒绝，无法连接。
