[SENDER] connected to 127.0.0.1:9001
[SENDER] window=132 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=133 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=134 case=continuous_bad_frames blobs=8 bytes=291
[SENDER] window=135 case=continuous_bad_frames blobs=8 bytes=210
[SENDER] window=136 case=continuous_bad_frames blobs=8 bytes=164
[SENDER] window=137 case=continuous_bad_frames blobs=8 bytes=253
[SENDER] window=138 case=continuous_bad_frames blobs=8 bytes=197
[SENDER] window=139 case=continuous_bad_frames blobs=8 bytes=210
[SENDER] window=140 case=continuous_bad_frames blobs=8 bytes=204
[SENDER] window=141 case=continuous_bad_frames blobs=8 bytes=199
[SENDER] window=142 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=143 case=continuous_bad_frames blobs=8 bytes=282
[SENDER] window=144 case=continuous_bad_frames blobs=8 bytes=152
[SENDER] window=145 case=continuous_bad_frames blobs=8 bytes=228
[SENDER] window=146 case=continuous_bad_frames blobs=8 bytes=217
[SENDER] window=147 case=continuous_bad_frames blobs=8 bytes=211
[SENDER] window=148 case=continuous_bad_frames blobs=8 bytes=238
[SENDER] window=149 case=continuous_bad_frames blobs=8 bytes=253
[SENDER] window=150 case=continuous_bad_frames blobs=8 bytes=262
[SENDER] window=151 case=continuous_bad_frames blobs=8 bytes=335
[SENDER] window=152 case=continuous_bad_frames blobs=8 bytes=236
[SENDER] window=153 case=continuous_bad_frames blobs=8 bytes=195
[SENDER] window=154 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=155 case=continuous_bad_frames blobs=8 bytes=168
[SENDER] window=156 case=continuous_bad_frames blobs=8 bytes=224
[SENDER] window=157 case=continuous_bad_frames blobs=8 bytes=239
[SENDER] window=158 case=continuous_bad_frames blobs=8 bytes=216
[SENDER] window=159 case=continuous_bad_frames blobs=8 bytes=198
[SENDER] window=160 case=continuous_bad_frames blobs=8 bytes=278
[SENDER] window=161 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=162 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=163 case=continuous_bad_frames blobs=8 bytes=230
[SENDER] window=164 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=165 case=continuous_bad_frames blobs=8 bytes=254
[SENDER] window=166 case=continuous_bad_frames blobs=8 bytes=193
[SENDER] window=167 case=continuous_bad_frames blobs=8 bytes=221
[SENDER] window=168 case=continuous_bad_frames blobs=8 bytes=161
[SENDER] window=169 case=continuous_bad_frames blobs=8 bytes=204
[SENDER] window=170 case=continuous_bad_frames blobs=8 bytes=258
[SENDER] window=171 case=continuous_bad_frames blobs=8 bytes=191
[SENDER] window=172 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=173 case=continuous_bad_frames blobs=8 bytes=305
[SENDER] window=174 case=continuous_bad_frames blobs=8 bytes=246
[SENDER] window=175 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=176 case=continuous_bad_frames blobs=8 bytes=197
[SENDER] window=177 case=continuous_bad_frames blobs=8 bytes=217
[SENDER] window=178 case=continuous_bad_frames blobs=8 bytes=246
[SENDER] window=179 case=continuous_bad_frames blobs=8 bytes=294
[SENDER] window=180 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=181 case=continuous_bad_frames blobs=8 bytes=211
[SENDER] window=182 case=continuous_bad_frames blobs=8 bytes=365
[SENDER] window=183 case=continuous_bad_frames blobs=8 bytes=253
[SENDER] window=184 case=continuous_bad_frames blobs=8 bytes=225
[SENDER] window=185 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=186 case=continuous_bad_frames blobs=8 bytes=210
[SENDER] window=187 case=continuous_bad_frames blobs=8 bytes=206
[SENDER] window=188 case=continuous_bad_frames blobs=8 bytes=286
[SENDER] window=189 case=continuous_bad_frames blobs=8 bytes=221
[SENDER] window=190 case=continuous_bad_frames blobs=8 bytes=276
[SENDER] window=191 case=continuous_bad_frames blobs=8 bytes=243
[SENDER] window=192 case=continuous_bad_frames blobs=8 bytes=230
[SENDER] window=193 case=continuous_bad_frames blobs=8 bytes=196
[SENDER] window=194 case=continuous_bad_frames blobs=8 bytes=221
[SENDER] window=195 case=continuous_bad_frames blobs=8 bytes=233
[SENDER] window=196 case=continuous_bad_frames blobs=8 bytes=165
[SENDER] window=197 case=continuous_bad_frames blobs=8 bytes=220
[SENDER] window=198 case=continuous_bad_frames blobs=8 bytes=241
[SENDER] window=199 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=200 case=continuous_bad_frames blobs=8 bytes=249
[SENDER] window=201 case=continuous_bad_frames blobs=8 bytes=279
[SENDER] window=202 case=continuous_bad_frames blobs=8 bytes=204
[SENDER] window=203 case=continuous_bad_frames blobs=8 bytes=247
[SENDER] window=204 case=continuous_bad_frames blobs=8 bytes=213
[SENDER] window=205 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=206 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=207 case=continuous_bad_frames blobs=8 bytes=216
[SENDER] window=208 case=continuous_bad_frames blobs=8 bytes=181
[SENDER] window=209 case=continuous_bad_frames blobs=8 bytes=226
[SENDER] window=210 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=211 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=212 case=continuous_bad_frames blobs=8 bytes=271
[SENDER] window=213 case=continuous_bad_frames blobs=8 bytes=180
[SENDER] window=214 case=continuous_bad_frames blobs=8 bytes=217
[SENDER] window=215 case=continuous_bad_frames blobs=8 bytes=198
[SENDER] window=216 case=continuous_bad_frames blobs=8 bytes=340
[SENDER] window=217 case=continuous_bad_frames blobs=8 bytes=166
[SENDER] window=218 case=continuous_bad_frames blobs=8 bytes=222
[SENDER] window=219 case=continuous_bad_frames blobs=8 bytes=176
[SENDER] window=220 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=221 case=continuous_bad_frames blobs=8 bytes=262
[SENDER] window=222 case=continuous_bad_frames blobs=8 bytes=174
[SENDER] window=223 case=continuous_bad_frames blobs=8 bytes=230
[SENDER] window=224 case=continuous_bad_frames blobs=8 bytes=209
[SENDER] window=225 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=226 case=continuous_bad_frames blobs=8 bytes=186
[SENDER] window=227 case=continuous_bad_frames blobs=8 bytes=339
[SENDER] window=228 case=continuous_bad_frames blobs=8 bytes=223
[SENDER] window=229 case=continuous_bad_frames blobs=8 bytes=204
[SENDER] window=230 case=continuous_bad_frames blobs=8 bytes=183
[SENDER] window=231 case=continuous_bad_frames blobs=8 bytes=148
[SENDER] window=232 case=continuous_bad_frames blobs=8 bytes=265
[SENDER] window=233 case=continuous_bad_frames blobs=8 bytes=269
[SENDER] window=234 case=continuous_bad_frames blobs=8 bytes=179
[SENDER] window=235 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=236 case=continuous_bad_frames blobs=8 bytes=191
[SENDER] window=237 case=continuous_bad_frames blobs=8 bytes=336
[SENDER] window=238 case=continuous_bad_frames blobs=8 bytes=324
[SENDER] window=239 case=continuous_bad_frames blobs=8 bytes=180
[SENDER] window=240 case=continuous_bad_frames blobs=8 bytes=298
[SENDER] window=241 case=continuous_bad_frames blobs=8 bytes=136
[SENDER] window=242 case=continuous_bad_frames blobs=8 bytes=182
[SENDER] window=243 case=continuous_bad_frames blobs=8 bytes=315
[SENDER] window=244 case=continuous_bad_frames blobs=8 bytes=225
[SENDER] window=245 case=continuous_bad_frames blobs=8 bytes=209
[SENDER] window=246 case=continuous_bad_frames blobs=8 bytes=288
[SENDER] window=247 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=248 case=continuous_bad_frames blobs=8 bytes=264
[SENDER] window=249 case=continuous_bad_frames blobs=8 bytes=257
[SENDER] window=250 case=continuous_bad_frames blobs=8 bytes=320
[SENDER] window=251 case=continuous_bad_frames blobs=8 bytes=270
[SENDER] window=252 case=continuous_bad_frames blobs=8 bytes=187
[SENDER] window=253 case=continuous_bad_frames blobs=8 bytes=193
[SENDER] window=254 case=continuous_bad_frames blobs=8 bytes=213
[SENDER] window=255 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=256 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=257 case=continuous_bad_frames blobs=8 bytes=227
[SENDER] window=258 case=continuous_bad_frames blobs=8 bytes=180
[SENDER] window=259 case=continuous_bad_frames blobs=8 bytes=180
[SENDER] window=260 case=continuous_bad_frames blobs=8 bytes=283
[SENDER] window=261 case=continuous_bad_frames blobs=8 bytes=161
[SENDER] window=262 case=continuous_bad_frames blobs=8 bytes=190
[SENDER] window=263 case=continuous_bad_frames blobs=8 bytes=223
[SENDER] window=264 case=continuous_bad_frames blobs=8 bytes=236
[SENDER] window=265 case=continuous_bad_frames blobs=8 bytes=197
[SENDER] window=266 case=continuous_bad_frames blobs=8 bytes=214
[SENDER] window=267 case=continuous_bad_frames blobs=8 bytes=238
[SENDER] window=268 case=continuous_bad_frames blobs=8 bytes=230
[SENDER] window=269 case=continuous_bad_frames blobs=8 bytes=253
[SENDER] window=270 case=continuous_bad_frames blobs=8 bytes=273
[SENDER] window=271 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=272 case=continuous_bad_frames blobs=8 bytes=254
[SENDER] window=273 case=continuous_bad_frames blobs=8 bytes=279
[SENDER] window=274 case=continuous_bad_frames blobs=8 bytes=211
[SENDER] window=275 case=continuous_bad_frames blobs=8 bytes=248
[SENDER] window=276 case=continuous_bad_frames blobs=8 bytes=180
[SENDER] window=277 case=continuous_bad_frames blobs=8 bytes=210
[SENDER] window=278 case=continuous_bad_frames blobs=8 bytes=208
[SENDER] window=279 case=continuous_bad_frames blobs=8 bytes=231
[SENDER] window=280 case=continuous_bad_frames blobs=8 bytes=236
[SENDER] window=281 case=continuous_bad_frames blobs=8 bytes=241
